Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN
2015-09-30,38.148256106961,106.20235335014,82.22,53.919339431931,77.054787146121,44.14,69.06,156.2,14.292611914398,132.0571410652
2015-10-01,38.511759963762,105.84496480317,83.75,52.514244077119,77.620943116435,43.14,68.96,157.82,14.282875802739,134.01630403512
2015-10-02,37.951767535717,106.61769679662,83.99,53.231129462227,78.071948719906,44.0,70.23,166.07,14.545750817514,136.15704796322
2015-10-05,39.484378391418,107.00406279335,85.84,54.894303555678,79.357794482992,44.29,72.12,163.42,14.701528604047,137.42811467054
2015-10-06,37.460546107608,107.51599773901,85.15,54.3781460784,79.108302021497,44.8,72.3,160.0,14.837834167263,134.9624363962
2015-10-07,38.619828677946,107.00406279335,80.65,55.314876314941,80.269401553836,45.9,73.55,164.78,14.983875842138,141.48979399842
2015-10-08,39.04227910612,105.76769160382,82.26,55.17149923792,81.679993547669,47.31,73.8,164.31,15.25648696857,143.25781911762
2015-10-09,41.675225960785,108.29838888238,83.82,54.186976642371,81.795143914513,51.57,73.46,161.08,15.237014745254,142.961555449
2015-10-12,43.070294816615,107.79611308664,83.92,54.081833452555,82.217361926272,51.55,72.82,159.86,15.188334186962,146.24912648145
2015-10-13,42.647844388442,107.97963693508,83.65,53.575234447079,81.718377003284,52.08,71.14,153.25,14.74047305068,141.04062004922
2015-10-14,43.030997102367,106.45349124801,83.8,58.297119516991,81.699185275477,51.37,70.28,152.66,15.032556400429,141.26042857755
2015-10-15,43.679409387471,108.04725098451,86.77,58.574315199233,82.495641979478,52.16,71.56,161.07,15.305167526862,145.78083874718
2015-10-16,42.942577245307,107.25520069122,88.67,57.532441772876,83.186544180539,52.04,70.95,160.72,15.412264755103,145.84773699493
2015-10-19,43.669584958909,107.92168203557,88.4,57.56111718828,83.77189187866,52.44,70.42,162.11,15.387924475957,147.62531900666
2015-10-20,44.003615530023,109.89214861888,86.84,57.733169680706,83.887042245503,52.0,71.92,159.02,15.762764774802,143.78344820711
2015-10-21,43.532042959038,109.88248946896,86.13,59.023563373901,83.915829837214,51.13,71.16,160.31,15.645931434903,143.43940007581
2015-10-22,45.182546957485,111.56318155472,88.46,60.600711221138,86.065303351627,52.59,72.53,166.76,15.782236998119,145.56103021884
2015-10-23,44.868165243495,115.02115722542,87.86,60.81099760077,86.871355919531,52.39,74.08,171.16,16.00616756626,148.8486012513
2015-10-26,45.65411952847,111.35068025652,88.84,58.813276994269,86.468329635579,53.61,75.37,170.01,15.899070338019,151.55320183904
2015-10-27,45.644295099908,110.64556231249,88.05,58.679458389049,86.679438641459,54.1,75.55,176.59,15.840653668069,154.80254530135
2015-10-28,45.054829386177,115.20468107386,88.5,59.128706563716,84.357239576781,55.5,62.91,177.41,16.103528682843,155.46197088635
2015-10-29,45.054829386177,116.42173396355,88.12,57.331713865045,84.789053452444,55.06,61.11,175.95,16.298250916009,153.46458034628
2015-10-30,45.408508814415,115.42684152198,88.66,57.465532470266,83.474420097648,55.19,60.82,176.0,16.327459250984,151.17092613759
2015-11-02,45.65411952847,117.04957870823,89.91,57.675818849897,83.474420097648,56.89,61.78,180.76,16.444292590884,155.11792275504
2015-11-03,45.781837099778,118.39220054686,90.36,57.981689947543,83.224927636153,57.93,63.11,177.67,16.551389819125,155.26127614309
2015-11-04,44.925273695976,117.84162900152,91.01,57.819195926919,83.445632505937,57.83,62.22,175.46,16.424820367567,154.70697637599
2015-11-05,44.895737026879,117.3007166061,90.55,57.6949357935,83.464824233744,63.49,61.7,173.44,16.366403697617,154.0762214686
2015-11-06,44.639752561375,117.43652623499,90.69,58.975771014893,84.08855538748,63.88,62.38,172.15,16.600070377417,153.34989763585
2015-11-09,43.960409172153,116.96119253389,89.8,58.268444101587,83.253715227864,63.51,61.83,172.64,16.366403697617,152.55667555534
2015-11-10,43.802880270304,113.27493117842,90.28,57.322155393244,83.436036642033,63.36,61.65,172.38,16.317723139326,151.35250709578
2015-11-11,43.704424706649,112.6346857851,91.21,57.255246090634,83.656741511816,62.12,61.42,169.54,16.346931474301,149.90941632281
2015-11-12,43.221992444737,112.25635896178,90.84,56.834673331371,82.735538577068,61.75,60.44,166.13,16.093792571185,145.04495802189
2015-11-13,42.778942408287,108.97752649297,89.02,55.563396581779,81.612822500344,60.45,58.57,166.44,16.785056498925,145.59255125326
2015-11-16,42.168517913624,110.75760270015,89.765,55.897943094829,83.023414494177,60.93,59.14,168.91,17.27186208184,148.42658639808
2015-11-17,41.64670342625,110.28711934294,90.29,56.681737782547,82.418875068249,61.25,58.73,171.21,17.442244035861,151.40472502484
2015-11-18,41.105197826145,113.77936694285,91.27,58.058157721955,83.00422276637,61.25,59.25,176.65,17.750653065964,154.59421542511
2015-11-19,41.64670342625,115.22476942171,91.76,57.130985957215,82.89866826343,62.39,59.21,174.48,17.819188405987,153.22042889728
2015-11-20,41.548247862594,115.72920518614,91.81,56.796439444165,83.762296014756,60.55,56.92,173.59,17.799606880266,153.62391864671
2015-11-23,41.64670342625,114.22559858062,91.96,54.292119832187,83.819871198178,62.71,56.95,175.97,17.750653065964,156.08328473848
2015-11-24,40.593228895137,115.32177629948,92.0,57.752286624309,83.205735908346,63.08,56.62,177.8,17.995422137475,156.38109860116
2015-11-25,40.671993346061,114.49721783839,91.77,57.589792603684,82.917859991237,62.92,57.68,182.24,18.063957477498,157.50510576029
2015-11-27,41.046124487952,114.28380270729,92.17,57.780962039713,83.186544180539,63.05,57.9,182.46,18.230400446125,157.09200911206
2015-11-30,40.622765564233,114.75913640839,91.46,58.908861712283,82.773922032683,63.47,57.61,178.44,18.377261889032,154.76713960343
2015-12-01,42.591876837342,113.82787038174,92.55,58.851510881475,84.021384340154,64.72,57.66,180.28,18.77868316631,155.61254669748
2015-12-02,43.143227993813,112.79959747732,92.02,58.440496594013,83.397653186419,64.55,56.07,176.58,18.729729352007,154.20993947327
2015-12-03,42.601722393708,111.75192319735,89.91,56.814476850123,81.81433564232,64.41,54.81,168.79,18.367471126171,148.57068988002
2015-12-04,44.27546697585,115.46728661615,92.58,56.968419547769,83.896638109407,65.29,56.615,175.76,18.631821723403,155.0841672637
2015-12-07,45.072957041459,114.73973503283,89.6,56.285298826963,83.100181405406,63.75,55.71,179.15,18.514332569078,152.07720794056
2015-12-08,43.861953608497,114.69123159394,91.72,55.823470734024,82.831497216105,63.96,55.1,188.72,18.55349562052,153.08593231414
2015-12-09,42.975853535598,112.159352084,89.56,54.505336385427,82.0254446482,63.25,53.27,183.16,18.631821723403,151.68332508992
2015-12-10,43.409058015682,112.69288991177,88.96,54.986407315572,82.517886988054,63.24,53.7,187.63,18.357680363311,153.39335307561
2015-12-11,41.439946742573,109.79238426628,91.42,54.774736106308,80.461216039252,61.1,51.81,188.06,17.936677560312,149.05103481982
2015-12-14,41.124888938876,109.11333612185,93.26,54.668900501676,81.68749402281,60.74,51.08,187.79,17.672326963081,151.89467686343
2015-12-15,41.937147339033,107.18289925412,94.02,54.409122199398,82.527542720208,61.09,51.755,186.21,18.073748240359,156.22258477103
2015-12-16,42.532803499149,108.00745771521,95.56,55.352021222482,83.232411167449,61.93,53.275,188.91,18.1129112918,158.11034038444
2015-12-17,41.804232328099,105.71809539971,94.2,53.995401199473,81.890264398044,60.74,52.59,185.79,17.682117725941,155.0841672637
2015-12-18,40.455391106019,102.85639250534,91.31,53.081366432198,80.412937378482,59.52,52.32,182.13,17.721280777383,152.55755288036
2015-12-21,41.745158989905,104.11748191642,91.62,53.716380059989,81.243330343726,60.16,52.675,185.07,18.132492817521,153.01868402256
2015-12-22,42.23251403,104.02047503864,93.82,53.894376304143,81.938543058814,60.985,52.975,187.07,18.362575744741,155.91996745895
2015-12-23,42.621413506439,105.35916995194,94.7,54.341772269177,82.778591756212,62.04,53.25,187.39,18.690566300566,156.32345720838
2015-12-24,43.133382437447,104.79653006084,94.3,54.64965766447,82.981362131446,61.85,53.04,189.41,18.710147826287,157.12082980845
2015-12-28,42.562340168245,103.62274683976,94.2,54.312908013369,82.79790322052,61.86,53.18,189.1,18.602449434822,155.37237422758
2015-12-29,42.828170190115,105.48527889305,95.33,55.140350013218,83.850378025305,62.22,53.33,191.88,18.857009269193,157.9758438013
2015-12-30,42.138981244527,104.10778122864,95.28,54.409122199398,83.406214346221,62.25,52.9,191.31,18.56328638338,156.87105043976
2015-12-31,41.695931208078,102.10943954646,93.94,53.225687711241,81.803362808658,60.93,52.63,190.75,18.279354260428,155.94878815534
2016-01-04,40.278171091439,102.19674573646,91.97,52.379002874186,79.244593787849,60.31,52.31,184.68,18.083539003219,152.11563553574
2016-01-05,39.894194393183,99.63576416319,92.34,51.99414613007,79.437708430929,60.39,52.02,184.9,18.10312052894,151.95231825621
2016-01-06,40.593228895137,97.685925919903,91.02,49.781219851403,78.462479483375,59.54,50.48,184.07,17.359022551547,150.55931793079
2016-01-07,39.825275498624,93.563133614445,89.11,48.51119259582,76.067857909184,55.98,48.19,174.37,16.849902882804,146.96633778109
2016-01-08,39.7465110477,94.0578686911,87.85,48.087850177293,75.440235319174,55.06,48.1,168.13,16.438690842666,144.780768305
2016-01-11,40.445545549654,95.580876672175,89.38,49.232798991038,75.807153141026,55.23,45.46,161.65,16.330992451202,141.88428831801
2016-01-12,41.351336735284,96.968075024364,89.82,49.694627083977,76.73410342781,54.79,46.88,166.12,16.399527791225,144.86242694477
2016-01-13,39.48068102583,94.474998265534,88.3,48.203307200527,74.677432479009,50.87,45.82,157.92,15.861035833901,139.7419498865
2016-01-14,39.92373106228,96.541244762152,89.8,48.588163944643,76.270628284418,52.65,46.91,167.29,16.458272368387,147.13926195942
2016-01-15,38.161376472847,94.222780383318,89.17,47.933907479646,75.23746494394,49.4,44.15,158.68,15.743546679576,145.35237878336
2016-01-19,38.259832036503,93.766848057773,89.18,47.520186479722,76.386497070266,47.59,45.44,156.75,16.105804905412,145.35237878336
2016-01-20,38.456743163814,93.892956998881,87.94,48.665135293467,75.52713690856,47.9,46.11,159.89,16.027478802528,148.92614513547
2016-01-21,39.175468778498,93.417623297782,88.0,48.617028200452,76.521677320422,47.87,46.21,155.52,16.458272368387,146.77419980517
2016-01-22,39.539754364024,98.384375439886,89.63,49.434848781699,78.317643501065,49.03,46.91,159.15,16.693250677038,149.94447640785
2016-01-25,38.279523149234,96.463639259932,86.77,49.117341967803,77.332758821358,47.97,45.7,154.54,16.556179996991,147.39864822691
2016-01-26,39.027785433015,96.997177087697,86.89,49.348256014272,78.105217393677,48.42,46.2,152.64,16.98697356285,147.73488968477
2016-01-27,39.077013214843,90.623825217848,84.85,49.33863459567,77.709332375364,46.49,44.35,151.12,16.732413728479,144.55500618329
2016-01-28,37.550951978184,91.273771298944,84.52,49.800462688609,77.970037143521,45.27,43.47,145.61,16.330992451202,142.51834363854
2016-01-29,38.387824269255,94.426494826647,89.13,51.820960595218,80.229478467557,46.82,45.62,145.93,17.280696448663,146.72616531119
2016-02-01,38.771800967511,93.54373223889,89.61,51.157082711618,80.113609681709,47.65,45.3,143.5,17.280696448663,146.74537910878
2016-02-02,36.458095221608,91.652098122268,87.95,49.396363107287,79.341151109389,45.89,42.94,137.36,16.693250677038,144.20915782664
2016-02-03,36.930681927154,93.466126736669,87.99,49.434848781699,79.321839645081,49.56,44.39,145.97,16.928228985688,144.76635795681
2016-02-04,37.619870872743,94.213079695541,86.36,49.713869921183,79.949462235091,49.51,44.64,146.02,17.21216110864,144.01701985072
2016-02-05,36.182419643373,91.696829740939,79.2,47.933907479646,78.510758144145,46.17,43.2,142.28,16.458272368387,139.33846013707
2016-02-08,35.099408443163,92.662367514216,74.94,47.298893851855,78.452823751221,43.45,40.98,139.15,15.85124507104,137.37865278269
2016-02-09,35.731296527653,92.642861700615,73.85,47.443215130898,77.892791286289,42.64,39.57,136.46,15.763128205296,137.53236316342
2016-02-10,36.649508900428,91.940652410959,75.53,47.106465479797,78.047283000753,43.72,47.96,138.82,15.655429813832,139.11750146476
2016-02-11,36.027494067258,91.384736723314,74.94,46.991008456562,77.448627607206,43.26,49.14,135.36,15.312753113717,136.8598802477
2016-02-12,37.340636492839,91.667571020537,76.67,47.760721944794,78.925954626767,44.92,50.76,141.11,15.723965153855,140.01386872224
2016-02-16,38.120623347132,94.252091322744,78.88,50.098726665299,80.895723986182,44.89,52.55,142.39,16.370155502643,142.36484786123
2016-02-17,38.841370693503,95.695521529259,81.85,50.73374029309,82.392362470052,46.67,53.42,148.6,16.781367542781,146.15737387969
2016-02-18,39.038835719907,93.881480864314,80.53,50.06986240949,81.986821719584,47.75,53.28,143.15,16.810739831363,144.44493228462
2016-02-19,39.25604724895,93.666916914697,80.87,50.127590921107,82.614444309594,49.91,53.13,145.89,17.995422137475,145.23826680889
2016-02-22,40.322358391527,94.486161085962,83.8,50.618283269855,83.425525810529,50.35,54.48,145.32,18.201028157544,143.72899625052
