PERMNO,date,PRC,RETX,sprtrn
86580,20131002,15.54000,-0.000643,-0.000667
86580,20131003,15.38000,-0.010296,-0.008979
86580,20131004,15.59000,0.013654,0.007053
86580,20131007,15.59000,0.000000,-0.008506
86580,20131008,15.46000,-0.008339,-0.012332
86580,20131009,15.22000,-0.015524,0.000574
86580,20131010,15.38500,0.010841,0.021830
86580,20131011,15.26000,-0.008125,0.006286
86580,20131014,15.49000,0.015072,0.004075
86580,20131015,15.41000,-0.005165,-0.007064
86580,20131016,15.60000,0.012330,0.013828
86580,20131017,15.63000,0.001923,0.006744
86580,20131018,15.81000,0.011516,0.006549
86580,20131021,15.85000,0.002530,0.000092
86580,20131022,15.77000,-0.005047,0.005738
86580,20131023,15.50100,-0.017058,-0.004725
86580,20131024,15.38500,-0.007483,0.003258
86580,20131025,15.24000,-0.009425,0.004395
86580,20131028,15.21000,-0.001968,0.001330
86580,20131029,15.23000,0.001315,0.005584
86580,20131030,15.22000,-0.000657,-0.004876
86580,20131031,15.18900,-0.002037,-0.003839
86580,20131101,15.25500,0.004345,0.002903
86580,20131104,14.82000,-0.028515,0.003571
86580,20131105,14.80000,-0.001349,-0.002806
86580,20131106,14.90000,0.006757,0.004266
86580,20131107,14.54500,-0.023825,-0.013183
86580,20131108,15.56000,0.069783,0.013428
86580,20131111,15.69000,0.008355,0.000723
86580,20131112,15.71500,0.001593,-0.002370
86580,20131113,16.15000,0.027681,0.008095
86580,20131114,16.22000,0.004334,0.004837
86580,20131115,16.17000,-0.003083,0.004222
86580,20131118,15.78000,-0.024119,-0.003698
86580,20131119,15.44000,-0.021546,-0.002043
86580,20131120,15.21000,-0.014896,-0.003636
86580,20131121,15.33000,0.007890,0.008129
86580,20131122,15.18000,-0.009785,0.004961
86580,20131125,15.51000,0.021739,-0.001263
86580,20131126,15.64000,0.008382,0.000150
86580,20131127,15.70000,0.003836,0.002485
86580,20131129,15.60000,-0.006369,-0.000786
86580,20131202,15.75000,0.009615,-0.002719
86580,20131203,15.74000,-0.000635,-0.003193
86580,20131204,15.96000,0.013977,-0.001304
86580,20131205,15.70000,-0.016291,-0.004340
86580,20131206,15.47000,-0.014650,0.011238
86580,20131209,15.20500,-0.017130,0.001817
86580,20131210,15.56000,0.023348,-0.003180
86580,20131211,15.41000,-0.009640,-0.011317
86580,20131212,15.11000,-0.019468,-0.003771
86580,20131213,15.02000,-0.005956,-0.000101
86580,20131216,15.04000,0.001332,0.006320
86580,20131217,15.11000,0.004654,-0.003101
86580,20131218,15.32000,0.013898,0.016648
86580,20131219,15.38000,0.003916,-0.000580
86580,20131220,15.68500,0.019831,0.004819
86580,20131223,15.78000,0.006057,0.005318
86580,20131224,15.82000,0.002535,0.002916
86580,20131226,15.67000,-0.009482,0.004745
86580,20131227,15.76000,0.005743,-0.000337
86580,20131230,15.97000,0.013325,-0.000179
86580,20131231,16.02000,0.003131,0.003960
86580,20140102,15.86000,-0.009988,-0.008862
86580,20140103,15.67000,-0.011980,-0.000333
86580,20140106,15.88000,0.013401,-0.002512
86580,20140107,16.14000,0.016373,0.006082
86580,20140108,16.36000,0.013631,-0.000212
86580,20140109,15.75000,-0.037286,0.000348
86580,20140110,15.73000,-0.001270,0.002307
86580,20140113,15.36000,-0.023522,-0.012576
86580,20140114,15.84000,0.031250,0.010818
86580,20140115,16.01000,0.010732,0.005166
86580,20140116,16.06000,0.003123,-0.001347
86580,20140117,15.99000,-0.004359,-0.003895
86580,20140121,16.05000,0.003752,0.002774
86580,20140122,16.03000,-0.001246,0.000575
86580,20140123,15.97000,-0.003743,-0.008890
86580,20140124,15.56000,-0.025673,-0.020875
86580,20140127,15.46000,-0.006427,-0.004876
86580,20140128,15.61000,0.009702,0.006141
86580,20140129,15.46000,-0.009609,-0.010209
86580,20140130,15.72000,0.016818,0.011267
86580,20140131,15.70000,-0.001272,-0.006465
86580,20140203,15.49000,-0.013376,-0.022832
86580,20140204,15.58000,0.005810,0.007641
86580,20140205,15.44000,-0.008986,-0.002028
86580,20140206,15.64000,0.012953,0.012440
86580,20140207,15.87000,0.014706,0.013302
86580,20140210,15.92000,0.003151,0.001569
86580,20140211,16.25000,0.020729,0.011062
86580,20140212,16.83000,0.035692,-0.000269
86580,20140213,17.36000,0.031491,0.005810
86580,20140214,17.91000,0.031682,0.004809
86580,20140218,17.90000,-0.000558,0.001158
86580,20140219,18.14000,0.013408,-0.006524
86580,20140220,18.78000,0.035281,0.006031
86580,20140221,18.64000,-0.007455,-0.001919
86580,20140224,18.91000,0.014485,0.006187
86580,20140225,18.74000,-0.008990,-0.001348
86580,20140226,18.71000,-0.001601,0.000022
86580,20140227,18.50000,-0.011224,0.004948
86580,20140228,18.38000,-0.006487,0.002783
86580,20140303,18.29000,-0.004897,-0.007379
86580,20140304,18.48000,0.010388,0.015268
86580,20140305,18.64000,0.008658,-0.000053
86580,20140306,18.38000,-0.013949,0.001718
86580,20140307,18.36000,-0.001088,0.000538
86580,20140310,18.09000,-0.014706,-0.000463
86580,20140311,18.27000,0.009950,-0.005082
86580,20140312,18.32000,0.002737,0.000305
86580,20140313,17.74000,-0.031659,-0.011701
86580,20140314,17.82000,0.004510,-0.002822
86580,20140317,17.82000,0.000000,0.009614
86580,20140318,18.24000,0.023569,0.007220
86580,20140319,18.55500,0.017270,-0.006132
86580,20140320,18.57000,0.000808,0.006041
86580,20140321,18.54000,-0.001615,-0.002933
86580,20140324,18.45000,-0.004854,-0.004865
86580,20140325,18.45000,0.000000,0.004404
86580,20140326,18.03000,-0.022764,-0.007000
86580,20140327,17.79000,-0.013311,-0.001900
86580,20140328,17.90000,0.006183,0.004640
86580,20140331,17.91000,0.000559,0.007924
86580,20140401,18.65000,0.041318,0.007039
86580,20140402,18.53000,-0.006434,0.002853
86580,20140403,18.73000,0.010793,-0.001126
86580,20140404,18.15000,-0.030966,-0.012537
86580,20140407,18.21000,0.003306,-0.010750
86580,20140408,18.86000,0.035695,0.003751
86580,20140409,18.84000,-0.001060,0.010918
86580,20140410,18.38000,-0.024416,-0.020885
86580,20140411,18.12000,-0.014146,-0.009487
86580,20140414,18.32000,0.011037,0.008217
86580,20140415,18.45000,0.007096,0.006757
86580,20140416,18.49000,0.002168,0.010488
86580,20140417,18.56000,0.003786,0.001364
86580,20140421,18.71000,0.008082,0.003775
86580,20140422,18.87000,0.008552,0.004092
86580,20140423,19.09000,0.011659,-0.002213
86580,20140424,19.26000,0.008905,0.001717
86580,20140425,18.73000,-0.027518,-0.008096
86580,20140428,18.65000,-0.004271,0.003236
86580,20140429,18.69000,0.002145,0.004761
86580,20140430,18.47000,-0.011771,0.002992
86580,20140501,18.57000,0.005414,-0.000143
86580,20140502,18.43000,-0.007539,-0.001348
86580,20140505,18.63000,0.010852,0.001871
86580,20140506,18.25000,-0.020397,-0.008988
86580,20140507,18.27500,0.001370,0.005616
86580,20140508,18.50000,0.012312,-0.001374
86580,20140509,18.05000,-0.024324,0.001519
86580,20140512,18.58000,0.029363,0.009673
86580,20140513,18.28000,-0.016146,0.000422
86580,20140514,18.10000,-0.009847,-0.004701
86580,20140515,18.00000,-0.005525,-0.009362
86580,20140516,17.96000,-0.002222,0.003747
86580,20140519,18.54000,0.032294,0.003845
86580,20140520,18.24000,-0.016181,-0.006498
86580,20140521,18.24000,0.000000,0.008116
86580,20140522,18.32000,0.004386,0.002362
86580,20140523,18.49000,0.009279,0.004248
86580,20140527,18.82000,0.017847,0.005988
86580,20140528,18.98000,0.008502,-0.001114
86580,20140529,18.95000,-0.001581,0.005367
86580,20140530,19.00000,0.002638,0.001844
86580,20140602,18.94000,-0.003158,0.000728
86580,20140603,18.86000,-0.004224,-0.000379
86580,20140604,18.88000,0.001060,0.001892
86580,20140605,18.96000,0.004237,0.006525
86580,20140606,19.03000,0.003692,0.004628
86580,20140609,19.05000,0.001051,0.000939
86580,20140610,19.15000,0.005249,-0.000246
86580,20140611,19.40000,0.013055,-0.003537
86580,20140612,19.52000,0.006186,-0.007089
86580,20140613,19.54000,0.001025,0.003135
86580,20140616,19.48000,-0.003071,0.000837
86580,20140617,19.61000,0.006674,0.002173
86580,20140618,19.59000,-0.001020,0.007719
86580,20140619,19.13800,-0.023073,0.001277
86580,20140620,18.93000,-0.010868,0.001730
86580,20140623,18.71000,-0.011622,-0.000132
86580,20140624,18.42000,-0.015500,-0.006435
86580,20140625,18.61000,0.010315,0.004897
86580,20140626,18.36000,-0.013434,-0.001179
86580,20140627,18.38000,0.001089,0.001911
86580,20140630,18.54000,0.008705,-0.000372
86580,20140701,18.75000,0.011327,0.006678
86580,20140702,18.68250,-0.003600,0.000659
86580,20140703,18.85000,0.008966,0.005480
86580,20140707,18.70000,-0.007958,-0.003924
86580,20140708,18.55000,-0.008021,-0.007049
86580,20140709,19.11000,0.030189,0.004644
86580,20140710,19.00500,-0.005495,-0.004131
86580,20140711,19.05000,0.002368,0.001471
86580,20140714,19.29000,0.012599,0.004844
86580,20140715,19.37000,0.004147,-0.001932
86580,20140716,19.35000,-0.001033,0.004201
86580,20140717,19.30000,-0.002584,-0.011834
86580,20140718,18.44000,-0.044560,0.010265
86580,20140721,18.55000,0.005965,-0.002320
86580,20140722,18.47000,-0.004313,0.005016
86580,20140723,18.08000,-0.021115,0.001754
86580,20140724,18.11000,0.001659,0.000488
86580,20140725,17.79000,-0.017670,-0.004849
86580,20140728,17.72000,-0.003935,0.000288
86580,20140729,17.78000,0.003386,-0.004528
86580,20140730,18.08000,0.016873,0.000061
86580,20140731,17.50000,-0.032080,-0.019999
86580,20140801,17.69000,0.010857,-0.002859
86580,20140804,17.65000,-0.002261,0.007189
86580,20140805,17.66000,0.000567,-0.009685
86580,20140806,17.64000,-0.001133,0.000016
86580,20140807,17.46000,-0.010204,-0.005557
86580,20140808,19.00000,0.088202,0.011531
86580,20140811,18.90000,-0.005263,0.002759
86580,20140812,18.90000,0.000000,-0.001637
86580,20140813,19.01000,0.005820,0.006707
86580,20140814,18.80000,-0.011047,0.004346
86580,20140815,19.04000,0.012766,-0.000061
86580,20140818,19.30000,0.013655,0.008532
86580,20140819,19.37000,0.003627,0.005001
86580,20140820,19.25000,-0.006195,0.002478
86580,20140821,19.07000,-0.009351,0.002950
86580,20140822,19.08000,0.000524,-0.001993
86580,20140825,19.11000,0.001572,0.004788
86580,20140826,19.45500,0.018053,0.001051
86580,20140827,19.23000,-0.011565,0.000050
86580,20140828,19.39000,0.008320,-0.001690
86580,20140829,19.45000,0.003094,0.003320
86580,20140902,19.49500,0.002314,-0.000544
86580,20140903,19.68500,0.009746,-0.000779
86580,20140904,20.03000,0.017526,-0.001534
86580,20140905,19.97000,-0.002996,0.005036
86580,20140908,19.79000,-0.009013,-0.003073
86580,20140909,19.54000,-0.012633,-0.006545
86580,20140910,19.61000,0.003582,0.003646
86580,20140911,19.41000,-0.010199,0.000882
86580,20140912,19.12000,-0.014941,-0.005963
86580,20140915,18.86000,-0.013598,-0.000710
86580,20140916,19.13500,0.014581,0.007484
86580,20140917,19.15000,0.000784,0.001296
86580,20140918,19.44000,0.015144,0.004891
86580,20140919,19.08000,-0.018519,-0.000477
86580,20140922,18.89000,-0.009958,-0.008013
86580,20140923,18.81000,-0.004235,-0.005776
86580,20140924,18.92000,0.005848,0.007832
86580,20140925,18.51000,-0.021670,-0.016169
86580,20140926,18.54500,0.001891,0.008576
86580,20140929,18.51500,-0.001618,-0.002547
86580,20140930,18.45000,-0.003511,-0.002786
86580,20141001,18.27000,-0.009756,-0.013249
86580,20141002,18.19000,-0.004379,0.000005
86580,20141003,18.23000,0.002199,0.011166
86580,20141006,18.12000,-0.006034,-0.001565
