PERMNO,date,PRC,RETX,sprtrn
86580,20151015,27.43000,0.002558,0.014853
86580,20151016,27.86000,0.015676,0.004570
86580,20151019,27.81000,-0.001795,0.000271
86580,20151020,27.77000,-0.001438,-0.001421
86580,20151021,27.41000,-0.012964,-0.005825
86580,20151022,28.40000,0.036118,0.016628
86580,20151023,28.59000,0.006690,0.011030
86580,20151026,28.46000,-0.004547,-0.001913
86580,20151027,28.44000,-0.000703,-0.002554
86580,20151028,28.67000,0.008087,0.011840
86580,20151029,27.68000,-0.034531,-0.000450
86580,20151030,28.37000,0.024928,-0.004810
86580,20151102,28.70000,0.011632,0.011874
86580,20151103,28.50000,-0.006969,0.002728
86580,20151104,28.03000,-0.016491,-0.003545
86580,20151105,27.71000,-0.011416,-0.001132
86580,20151106,31.55000,0.138578,-0.000348
86580,20151109,31.41000,-0.004437,-0.009823
86580,20151110,30.81000,-0.019102,0.001511
86580,20151111,30.51000,-0.009737,-0.003228
86580,20151112,30.40000,-0.003605,-0.013990
86580,20151113,29.80000,-0.019737,-0.011207
86580,20151116,30.40000,0.020134,0.014903
86580,20151117,30.40000,0.000000,-0.001339
86580,20151118,31.03000,0.020724,0.016162
86580,20151119,31.12000,0.002900,-0.001123
86580,20151120,31.39000,0.008676,0.003810
86580,20151123,30.92000,-0.014973,-0.001235
86580,20151124,31.17000,0.008085,0.001222
86580,20151125,31.13000,-0.001283,-0.000129
86580,20151127,31.39000,0.008352,0.000594
86580,20151130,31.72000,0.010513,-0.004641
86580,20151201,32.75000,0.032472,0.010681
86580,20151202,32.50000,-0.007634,-0.010996
86580,20151203,32.43000,-0.002154,-0.014374
86580,20151204,33.75000,0.040703,0.020526
86580,20151207,33.11000,-0.018963,-0.006990
86580,20151208,33.56000,0.013591,-0.006490
86580,20151209,32.71000,-0.025328,-0.007739
86580,20151210,32.98000,0.008254,0.002251
86580,20151211,32.49000,-0.014857,-0.019423
86580,20151214,32.57000,0.002462,0.004756
86580,20151215,32.97000,0.012281,0.010619
86580,20151216,33.17000,0.006066,0.014515
86580,20151217,32.67000,-0.015074,-0.015041
86580,20151218,32.14000,-0.016223,-0.017797
86580,20151221,32.89500,0.023491,0.007778
86580,20151222,32.93000,0.001064,0.008817
86580,20151223,33.05500,0.003796,0.012418
86580,20151224,33.17000,0.003479,-0.001599
86580,20151228,33.14000,-0.000904,-0.002179
86580,20151229,33.68000,0.016295,0.010630
86580,20151230,33.39000,-0.008610,-0.007217
86580,20151231,32.96000,-0.012878,-0.009412
86580,20160104,32.37000,-0.017900,-0.015304
86580,20160105,32.89000,0.016064,0.002012
86580,20160106,31.53000,-0.041350,-0.013115
86580,20160107,30.28000,-0.039645,-0.023700
86580,20160108,29.63000,-0.021466,-0.010838
86580,20160111,29.68000,0.001688,0.000853
86580,20160112,30.18000,0.016846,0.007803
86580,20160113,29.26000,-0.030484,-0.024965
86580,20160114,28.67000,-0.020164,0.016696
86580,20160115,27.11000,-0.054412,-0.021599
86580,20160119,27.33000,0.008115,0.000532
86580,20160120,27.48000,0.005488,-0.011694
86580,20160121,27.80000,0.011645,0.005195
86580,20160122,28.45000,0.023381,0.020284
86580,20160125,28.42000,-0.001055,-0.015638
86580,20160126,28.70000,0.009852,0.014144
86580,20160127,28.36000,-0.011847,-0.010863
86580,20160128,28.05000,-0.010931,0.005529
86580,20160129,29.29000,0.044207,0.024760
86580,20160201,29.30000,0.000341,-0.000443
86580,20160202,28.06000,-0.042321,-0.018743
86580,20160203,28.20000,0.004989,0.004992
86580,20160204,28.21000,0.000355,0.001527
86580,20160205,26.43000,-0.063098,-0.018481
86580,20160208,25.22000,-0.045781,-0.014154
86580,20160209,25.49000,0.010706,-0.000664
86580,20160210,25.43000,-0.002354,-0.000189
86580,20160211,25.30000,-0.005112,-0.012301
86580,20160212,25.73000,0.016996,0.019518
86580,20160216,26.99000,0.048970,0.016517
86580,20160217,27.66000,0.024824,0.016480
86580,20160218,30.04000,0.086045,-0.004666
86580,20160219,30.44000,0.013316,-0.000026
86580,20160222,31.52000,0.035480,0.014454
86580,20160223,31.60000,0.002538,-0.012454
86580,20160224,31.82000,0.006962,0.004440
86580,20160225,31.89000,0.002200,0.011348
86580,20160226,31.68000,-0.006585,-0.001870
86580,20160229,31.36000,-0.010101,-0.008121
86580,20160301,32.75000,0.044324,0.023869
86580,20160302,32.94000,0.005801,0.004094
86580,20160303,32.65000,-0.008804,0.003499
86580,20160304,32.55000,-0.003063,0.003306
86580,20160307,32.34000,-0.006452,0.000885
86580,20160308,31.75000,-0.018244,-0.011240
86580,20160309,31.73000,-0.000630,0.005052
86580,20160310,31.68000,-0.001576,0.000156
86580,20160311,32.22000,0.017045,0.016396
86580,20160314,32.30000,0.002483,-0.001261
86580,20160315,32.14000,-0.004954,-0.001837
